task_id,graph_type,context_length,seed,model,prompt_style,query_id,query_type,gold,pred,correct,parse_valid,observed_edge_count,observed_baseline_pred,observed_baseline_correct,always_no_correct,shortest_path_distance,completion_tokens,prompt_tokens,total_tokens,api_error
grid4x4_L16_S1000,grid4x4,16,1000,gpt-4.1,direct,q1,false_distance2,NO,NO,True,True,0,NO,True,True,2,77,316,393,
grid4x4_L16_S1000,grid4x4,16,1000,gpt-4.1,direct,q2,false_distance2,NO,NO,True,True,0,NO,True,True,2,77,316,393,
grid4x4_L16_S1000,grid4x4,16,1000,gpt-4.1,direct,q3,true_low_seen,YES,NO,False,True,0,NO,False,False,1,77,316,393,
grid4x4_L16_S1000,grid4x4,16,1000,gpt-4.1,direct,q4,true_observed,YES,YES,True,True,1,YES,True,False,1,77,316,393,
grid4x4_L16_S1000,grid4x4,16,1000,gpt-4.1,direct,q5,false_distant,NO,NO,True,True,0,NO,True,True,3,77,316,393,
grid4x4_L16_S1000,grid4x4,16,1000,gpt-4.1,direct,q6,false_distant,NO,NO,True,True,0,NO,True,True,3,77,316,393,
grid4x4_L16_S1000,grid4x4,16,1000,gpt-4.1,direct,q7,true_low_seen,YES,NO,False,True,0,NO,False,False,1,77,316,393,
grid4x4_L16_S1000,grid4x4,16,1000,gpt-4.1,direct,q8,true_observed,YES,YES,True,True,1,YES,True,False,1,77,316,393,
grid4x4_L16_S1001,grid4x4,16,1001,gpt-4.1,direct,q1,false_distance2,NO,NO,True,True,0,NO,True,True,2,77,316,393,
grid4x4_L16_S1001,grid4x4,16,1001,gpt-4.1,direct,q2,false_distant,NO,NO,True,True,0,NO,True,True,4,77,316,393,
grid4x4_L16_S1001,grid4x4,16,1001,gpt-4.1,direct,q3,false_distant,NO,NO,True,True,0,NO,True,True,5,77,316,393,
grid4x4_L16_S1001,grid4x4,16,1001,gpt-4.1,direct,q4,false_distance2,NO,NO,True,True,0,NO,True,True,2,77,316,393,
grid4x4_L16_S1001,grid4x4,16,1001,gpt-4.1,direct,q5,true_observed,YES,YES,True,True,1,YES,True,False,1,77,316,393,
grid4x4_L16_S1001,grid4x4,16,1001,gpt-4.1,direct,q6,true_observed,YES,YES,True,True,1,YES,True,False,1,77,316,393,
grid4x4_L16_S1001,grid4x4,16,1001,gpt-4.1,direct,q7,true_low_seen,YES,NO,False,True,0,NO,False,False,1,77,316,393,
grid4x4_L16_S1001,grid4x4,16,1001,gpt-4.1,direct,q8,true_low_seen,YES,NO,False,True,0,NO,False,False,1,77,316,393,
grid4x4_L16_S1005,grid4x4,16,1005,gpt-4.1,direct,q1,true_observed,YES,YES,True,True,3,YES,True,False,1,77,318,395,
grid4x4_L16_S1005,grid4x4,16,1005,gpt-4.1,direct,q2,false_distance2,NO,NO,True,True,0,NO,True,True,2,77,318,395,
grid4x4_L16_S1005,grid4x4,16,1005,gpt-4.1,direct,q3,true_observed,YES,YES,True,True,2,YES,True,False,1,77,318,395,
grid4x4_L16_S1005,grid4x4,16,1005,gpt-4.1,direct,q4,false_distant,NO,NO,True,True,0,NO,True,True,4,77,318,395,
grid4x4_L16_S1005,grid4x4,16,1005,gpt-4.1,direct,q5,true_low_seen,YES,NO,False,True,0,NO,False,False,1,77,318,395,
grid4x4_L16_S1005,grid4x4,16,1005,gpt-4.1,direct,q6,true_low_seen,YES,NO,False,True,0,NO,False,False,1,77,318,395,
grid4x4_L16_S1005,grid4x4,16,1005,gpt-4.1,direct,q7,false_distant,NO,NO,True,True,0,NO,True,True,3,77,318,395,
grid4x4_L16_S1005,grid4x4,16,1005,gpt-4.1,direct,q8,false_distance2,NO,NO,True,True,0,NO,True,True,2,77,318,395,
grid4x4_L16_S1003,grid4x4,16,1003,gpt-4.1,direct,q1,true_observed,YES,YES,True,True,2,YES,True,False,1,77,315,392,
grid4x4_L16_S1003,grid4x4,16,1003,gpt-4.1,direct,q2,false_distance2,NO,NO,True,True,0,NO,True,True,2,77,315,392,
grid4x4_L16_S1003,grid4x4,16,1003,gpt-4.1,direct,q3,true_observed,YES,YES,True,True,1,YES,True,False,1,77,315,392,
grid4x4_L16_S1003,grid4x4,16,1003,gpt-4.1,direct,q4,false_distance2,NO,NO,True,True,0,NO,True,True,2,77,315,392,
grid4x4_L16_S1003,grid4x4,16,1003,gpt-4.1,direct,q5,true_low_seen,YES,NO,False,True,0,NO,False,False,1,77,315,392,
grid4x4_L16_S1003,grid4x4,16,1003,gpt-4.1,direct,q6,false_distant,NO,NO,True,True,0,NO,True,True,4,77,315,392,
grid4x4_L16_S1003,grid4x4,16,1003,gpt-4.1,direct,q7,false_distant,NO,NO,True,True,0,NO,True,True,5,77,315,392,
grid4x4_L16_S1003,grid4x4,16,1003,gpt-4.1,direct,q8,true_low_seen,YES,NO,False,True,0,NO,False,False,1,77,315,392,
grid4x4_L16_S1002,grid4x4,16,1002,gpt-4.1,direct,q1,true_observed,YES,YES,True,True,2,YES,True,False,1,77,321,398,
grid4x4_L16_S1002,grid4x4,16,1002,gpt-4.1,direct,q2,false_distant,NO,NO,True,True,0,NO,True,True,5,77,321,398,
grid4x4_L16_S1002,grid4x4,16,1002,gpt-4.1,direct,q3,false_distant,NO,NO,True,True,0,NO,True,True,3,77,321,398,
grid4x4_L16_S1002,grid4x4,16,1002,gpt-4.1,direct,q4,false_distance2,NO,YES,False,True,0,NO,True,True,2,77,321,398,
grid4x4_L16_S1002,grid4x4,16,1002,gpt-4.1,direct,q5,true_observed,YES,YES,True,True,1,YES,True,False,1,77,321,398,
grid4x4_L16_S1002,grid4x4,16,1002,gpt-4.1,direct,q6,true_low_seen,YES,NO,False,True,0,NO,False,False,1,77,321,398,
grid4x4_L16_S1002,grid4x4,16,1002,gpt-4.1,direct,q7,false_distance2,NO,NO,True,True,0,NO,True,True,2,77,321,398,
grid4x4_L16_S1002,grid4x4,16,1002,gpt-4.1,direct,q8,true_low_seen,YES,NO,False,True,0,NO,False,False,1,77,321,398,
grid4x4_L16_S1004,grid4x4,16,1004,gpt-4.1,direct,q1,false_distance2,NO,NO,True,True,0,NO,True,True,2,77,316,393,
grid4x4_L16_S1004,grid4x4,16,1004,gpt-4.1,direct,q2,false_distant,NO,NO,True,True,0,NO,True,True,3,77,316,393,
grid4x4_L16_S1004,grid4x4,16,1004,gpt-4.1,direct,q3,true_observed,YES,YES,True,True,5,YES,True,False,1,77,316,393,
grid4x4_L16_S1004,grid4x4,16,1004,gpt-4.1,direct,q4,true_low_seen,YES,NO,False,True,0,NO,False,False,1,77,316,393,
grid4x4_L16_S1004,grid4x4,16,1004,gpt-4.1,direct,q5,true_low_seen,YES,NO,False,True,0,NO,False,False,1,77,316,393,
grid4x4_L16_S1004,grid4x4,16,1004,gpt-4.1,direct,q6,false_distance2,NO,NO,True,True,0,NO,True,True,2,77,316,393,
grid4x4_L16_S1004,grid4x4,16,1004,gpt-4.1,direct,q7,false_distant,NO,NO,True,True,0,NO,True,True,3,77,316,393,
grid4x4_L16_S1004,grid4x4,16,1004,gpt-4.1,direct,q8,true_observed,YES,YES,True,True,1,YES,True,False,1,77,316,393,
